lat,lon,type,nb_pizzas,prix,note,avis,prep_time,opened,ca,email_contact,telephone
2.168,49.0334,Snack,24,21.21,4.4,446,18,2013,62,contact0@pizza-paris.fr,01 55 36 67 49
2.9492,48.617,Artisanale,14,17.87,3.0,1342,23,2007,16,contact1@pizza-idf.fr,01 43 32 13 61
2.4451,48.9691,Chaîne,10,9.96,,3401,22,1993,61,contact2@pizza-paris.fr,01 90 92 20 84
3.0596,48.7275,Artisanale,5,17.04,2.7,3470,29,1992,69,contact3@pizza-paris.fr,01 83 65 60 73
2.6615,48.2265,Chaîne,26,11.92,2.6,2536,26,2016,80,contact4@pizza-paris.fr,01 21 45 59 27
2.5925,48.5773,Chaîne,44,8.27,4.3,1964,39,2007,74,contact5@pizza-paris.fr,01 44 33 13 50
1.5498,48.7374,Snack,7,13.0,3.1,653,23,2002,111,contact6@pizza-idf.fr,01 17 38 83 59
2.9267,48.5193,Chaîne,15,18.33,4.0,2881,17,2021,113,contact7@pizza-idf.fr,01 73 79 49 32
1.6534,48.6414,Chaîne,42,8.01,3.0,534,19,2005,28,contact8@pizza-idf.fr,01 28 24 77 56
2.1351,49.0645,Restaurant italien,41,9.91,4.9,3243,39,2005,81,contact9@pizza-idf.fr,01 88 55 38 95
1.7981,48.7301,Snack,22,21.28,3.5,3157,10,1996,113,contact10@pizza-idf.fr,01 38 91 82 23
1.7391,49.043,Artisanale,19,16.91,4.6,2744,29,2013,-50,contact11@pizza-paris.fr,01 98 18 54 42
2.7247,48.9083,Artisanale,28,10.33,4.7,1438,14,2015,83,contact12@pizza-idf.fr,01 97 38 30 67
2.9378,48.2663,Snack,5,9.04,3.4,2998,,1990,88,contact13@pizza-idf.fr,01 13 65 93 31
2.2381,48.7466,Artisanale,10,13.73,4.8,2212,26,2004,16,contact14@pizza-paris.fr,01 80 72 29 16
2.2269,48.5247,Snack,44,8.36,3.2,335,15,2004,70,contact15@pizza-paris.fr,01 94 43 21 92
1.8143,48.6897,Restaurant italien,27,14.16,4.6,2311,,1991,54,contact16@pizza-idf.fr,01 62 85 39 80
2.1581,48.2549,Restaurant italien,38,16.02,3.2,1617,10,2017,76,contact17@pizza-idf.fr,01 96 89 28 25
2.2634,49.0543,Chaîne,17,13.93,3.6,3369,24,2005,113,contact18@pizza-paris.fr,01 59 81 60 80
1.9695,48.4935,Restaurant italien,4,15.32,3.5,607,14,1991,22,contact19@pizza-idf.fr,01 78 54 62 43
2.3255,48.5447,Restaurant italien,6,16.66,3.5,1621,29,2000,70,contact20@pizza-idf.fr,01 57 12 53 48
