has_left,business_travel,department,education,education_field,employee_id,job_level,job_role,monthly_income,percent_salary_hike,total_working_years,training_times_last_year,years_at_company,years_since_last_promotion,years_with_curr_manager,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,performance_rating
0,1,Sales,2,LifeSci,1,1,HealthRep,131160,11,1,6,1,0,0,3,4,2,3,3
1,2,R&D,1,LifeSci,2,1,Scientist,41890,23,6,3,5,1,4,3,2,4,2,4
0,2,R&D,4,Other,3,4,SalesExec,193280,15,5,2,5,0,3,2,2,1,3,3
0,0,R&D,5,LifeSci,4,3,HR,83210,11,13,5,8,7,5,4,4,3,2,3
0,1,R&D,1,Medical,5,1,SalesExec,23420,12,9,2,6,0,4,4,1,3,3,3
0,1,R&D,3,LifeSci,6,4,ResearchDir,40710,13,28,5,7,7,7,3,2,2,3,3
1,1,R&D,2,Medical,7,2,SalesExec,58130,20,5,2,0,0,0,1,3,1,3,4
0,1,R&D,3,LifeSci,8,2,SalesExec,31430,22,10,2,0,0,0,1,2,3,3,4
0,1,R&D,3,LifeSci,9,3,LabTech,20440,21,10,2,9,7,8,2,4,3,3,4
0,0,R&D,4,Medical,10,4,LabTech,134640,13,6,2,6,1,5,2,1,3,3,3
0,1,R&D,2,Medical,11,2,LabTech,79910,13,21,2,20,4,10,3,4,3,2,3
0,1,R&D,1,LifeSci,12,1,LabTech,33770,12,16,2,15,10,11,3,4,3,3,3
0,1,R&D,4,LifeSci,13,1,SalesExec,55380,17,37,2,36,4,13,4,1,3,3,3
1,0,R&D,1,Medical,14,1,Scientist,57620,11,10,4,10,9,9,1,2,2,2,3
0,1,R&D,3,LifeSci,15,1,MfgDir,25920,14,5,2,5,0,4,4,4,2,3,3
0,1,R&D,3,LifeSci,16,2,HealthRep,53460,11,7,2,5,0,1,3,4,4,3,3
0,1,R&D,2,LifeSci,17,1,LabTech,42130,12,3,3,3,1,0,4,3,4,2,3
0,0,R&D,3,Medical,18,2,SalesExec,41270,13,15,2,5,0,2,1,4,3,3,3
0,1,Sales,4,LifeSci,19,1,SalesRep,24380,16,10,5,7,6,2,2,2,2,2,3
0,1,R&D,3,LifeSci,20,1,Manager,68700,11,8,5,8,7,7,1,1,3,3,3
0,2,R&D,4,Other,21,2,LabTech,104470,18,6,3,6,1,4,3,2,1,3,3
0,1,Sales,4,LifeSci,22,1,Scientist,96670,23,28,2,10,1,6,1,2,2,2,4
0,1,R&D,4,LifeSci,23,2,Scientist,21480,11,21,2,5,1,3,3,3,2,3,3
0,1,R&D,4,LifeSci,24,1,MfgDir,89260,14,10,4,20,11,6,2,3,3,1,3
0,2,R&D,4,Medical,25,1,LabTech,65130,11,10,2,10,0,9,2,4,2,3,3
0,1,R&D,4,Other,26,1,Scientist,67990,11,12,2,10,0,8,2,4,3,3,3
0,2,R&D,3,LifeSci,27,1,Manager,162910,22,5,3,5,3,3,1,1,3,3,4
0,1,Sales,1,Marketing,28,1,Scientist,27050,11,17,2,17,5,7,4,4,3,3,3
1,2,R&D,2,Medical,29,2,Scientist,103330,14,19,2,1,0,0,4,3,1,2,3
0,1,Sales,3,Marketing,30,1,Manager,44480,12,10,3,2,1,2,4,4,3,2,3
1,1,R&D,3,Medical,31,3,Scientist,68540,11,5,5,3,0,2,1,2,3,2,3
0,1,R&D,3,Other,32,1,HR,96370,13,5,6,5,0,2,4,4,3,2,3
0,2,R&D,1,Medical,33,2,Scientist,35910,13,22,2,3,1,2,3,1,3,3,3
0,1,Sales,3,Tech,34,3,SalesExec,54050,14,10,2,8,7,7,3,2,3,3,3
