has_left,business_travel,department,education,education_field,employee_id,job_level,job_role,monthly_income,percent_salary_hike,total_working_years,training_times_last_year,years_at_company,years_since_last_promotion,years_with_curr_manager,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,performance_rating,avg_hours_per_day,std_hours_daily,std_hours_monthly,total_days_worked,overtime_ratio
0,1,Sales,2,LifeSci,1,1,HealthRep,131160,11,1,6,1,0,0,3,4,2,3,3,7.373650622605365,0.2832243671302342,0.0510118724421821,232,0.0
1,2,R&D,1,LifeSci,2,1,Scientist,41890,23,6,3,5,1,4,3,2,4,2,4,7.718968926553672,0.3133509074127262,0.0801738783250886,236,0.1779661016949152
0,2,R&D,4,Other,3,4,SalesExec,193280,15,5,2,5,0,3,2,2,1,3,3,7.013240358126722,0.3115511391897782,0.0690105312529021,242,0.0
0,0,R&D,5,LifeSci,4,3,HR,83210,11,13,5,8,7,5,4,4,3,2,3,7.193678486997635,0.2841328328448774,0.0698192201248836,235,0.0
0,1,R&D,1,Medical,5,1,SalesExec,23420,12,9,2,6,0,4,4,1,3,3,3,8.006174603174603,0.3006564200435072,0.0481391431281995,245,0.4693877551020408
0,1,R&D,3,LifeSci,6,4,ResearchDir,40710,13,28,5,7,7,7,3,2,2,3,3,10.796095874355368,0.3062780195272167,0.0675283886151787,237,1.0
1,1,R&D,2,Medical,7,2,SalesExec,58130,20,5,2,0,0,0,1,3,1,3,4,6.923570402298851,0.3246115897328066,0.0827909070281796,232,0.0043103448275862
0,1,R&D,3,LifeSci,8,2,SalesExec,31430,22,10,2,0,0,0,1,2,3,3,4,6.725620713305898,0.2785480594266,0.0409903375058009,243,0.0
0,1,R&D,3,LifeSci,9,3,LabTech,20440,21,10,2,9,7,8,2,4,3,3,4,7.236498792270532,0.3106995251062113,0.0574857060357864,230,0.0043478260869565
0,0,R&D,4,Medical,10,4,LabTech,134640,13,6,2,6,1,5,2,1,3,3,3,7.080087844254511,0.2904905463580699,0.073201560257256,234,0.0
0,1,R&D,2,Medical,11,2,LabTech,79910,13,21,2,20,4,10,3,4,3,2,3,8.403485477178425,0.3083233939116,0.0673351071911694,241,0.921161825726141
0,1,R&D,1,LifeSci,12,1,LabTech,33770,12,16,2,15,10,11,3,4,3,3,3,7.06895458736745,0.3097338331980486,0.0707980760659592,241,0.0
0,1,R&D,4,LifeSci,13,1,SalesExec,55380,17,37,2,36,4,13,4,1,3,3,3,9.301409509946629,0.2888632383707679,0.070885774791744,229,1.0
1,0,R&D,1,Medical,14,1,Scientist,57620,11,10,4,10,9,9,1,2,2,2,3,9.399931442080378,0.2922665278568038,0.0530561425693552,235,1.0
0,1,R&D,3,LifeSci,15,1,MfgDir,25920,14,5,2,5,0,4,4,4,2,3,3,6.08968764407561,0.2897538656914085,0.0680005831452716,241,0.0
0,1,R&D,3,LifeSci,16,2,HealthRep,53460,11,7,2,5,0,1,3,4,4,3,3,6.705174636661979,0.317259643273916,0.038634424256215,237,0.0
0,1,R&D,2,LifeSci,17,1,LabTech,42130,12,3,3,3,1,0,4,3,4,2,3,6.619040626529614,0.3139625364259774,0.0815103834321683,227,0.0
0,0,R&D,3,Medical,18,2,SalesExec,41270,13,15,2,5,0,2,1,4,3,3,3,11.014328139114726,0.3096964342975207,0.069583244261501,246,1.0
0,1,Sales,4,LifeSci,19,1,SalesRep,24380,16,10,5,7,6,2,2,2,2,2,3,6.960253831417625,0.314945915821745,0.0582325247951802,232,0.0
0,1,R&D,3,LifeSci,20,1,Manager,68700,11,8,5,8,7,7,1,1,3,3,3,9.293555796055797,0.2963884015180485,0.0839746901140956,231,1.0
0,2,R&D,4,Other,21,2,LabTech,104470,18,6,3,6,1,4,3,2,1,3,3,7.590778256704982,0.317876322859857,0.0578490316956143,232,0.1163793103448275
0,1,Sales,4,LifeSci,22,1,Scientist,96670,23,28,2,10,1,6,1,2,2,2,4,6.008613495469718,0.293009267321181,0.0680335590211481,233,0.0
0,1,R&D,4,LifeSci,23,2,Scientist,21480,11,21,2,5,1,3,3,3,2,3,3,8.402108477011494,0.3029886705353012,0.0859448748741294,232,0.9051724137931034
0,1,R&D,4,LifeSci,24,1,MfgDir,89260,14,10,4,20,11,6,2,3,3,1,3,6.8070052800734615,0.3155869205724915,0.0776278400166598,242,0.0
0,2,R&D,4,Medical,25,1,LabTech,65130,11,10,2,10,0,9,2,4,2,3,3,7.093167388167388,0.3219874360961485,0.0620871412278379,231,0.0043290043290043
0,1,R&D,4,Other,26,1,Scientist,67990,11,12,2,10,0,8,2,4,3,3,3,9.362002074688798,0.2812382254202834,0.0744787163706538,241,1.0
0,2,R&D,3,LifeSci,27,1,Manager,162910,22,5,3,5,3,3,1,1,3,3,4,10.977123430962344,0.2966332412542106,0.0615047185191597,239,1.0
0,1,Sales,1,Marketing,28,1,Scientist,27050,11,17,2,17,5,7,4,4,3,3,3,7.604444444444445,0.2958357789663502,0.056852920588399,236,0.0932203389830508
1,2,R&D,2,Medical,29,2,Scientist,103330,14,19,2,1,0,0,4,3,1,2,3,10.97758573388203,0.311821460995057,0.0441465052605232,243,1.0
0,1,Sales,3,Marketing,30,1,Manager,44480,12,10,3,2,1,2,4,4,3,2,3,6.8312753623188405,0.2816235668075111,0.0554610317020159,230,0.0
1,1,R&D,3,Medical,31,3,Scientist,68540,11,5,5,3,0,2,1,2,3,2,3,10.109408263305324,0.3076482089710232,0.0882161702199603,238,1.0
0,1,R&D,3,Other,32,1,HR,96370,13,5,6,5,0,2,4,4,3,2,3,6.709665977961433,0.2999596428160105,0.054500621043202,242,0.0
0,2,R&D,1,Medical,33,2,Scientist,35910,13,22,2,3,1,2,3,1,3,3,3,10.518214624881292,0.2988444964494485,0.0583923019019797,234,1.0
0,1,Sales,3,Tech,34,3,SalesExec,54050,14,10,2,8,7,7,3,2,3,3,3,6.182887517146776,0.2776026790150542,0.064539637274495,243,0.0
0,2,R&D,4,Medical,35,1,SalesExec,46840,16,2,4,2,2,2,4,2,2,3,3,6.586388888888888,0.2984167125865237,0.0515944375042663,240,0.0
1,1,R&D,3,Medical,36,2,Manager,157870,12,8,5,8,7,4,4,4,3,3,3,10.272241379310346,0.3035182369118388,0.0658810767440198,232,1.0
0,2,Sales,1,Marketing,37,1,LabTech,15140,14,4,3,4,1,2,2,4,2,3,3,9.982733011937558,0.2858516734525315,0.0659436734605001,242,1.0
0,2,Sales,2,Marketing,38,3,ResearchDir,29560,13,23,2,20,4,8,3,2,4,3,3,5.979567632850242,0.2972133732676858,0.090921242553288,230,0.0
1,1,R&D,4,LifeSci,39,1,SalesExec,23350,14,0,3,0,0,0,3,3,3,2,3,6.775967939304944,0.2921177931173167,0.0732428530809163,227,0.0
0,1,Sales,2,LifeSci,40,1,LabTech,51540,19,12,2,11,6,9,3,2,2,2,3,7.690160390516039,0.3056256998247581,0.0519240370098898,239,0.1422594142259414
0,2,R&D,3,Other,41,3,SalesExec,69620,12,4,2,1,0,0,3,3,3,2,3,7.204732468123862,0.2845449299508924,0.0926024193079787,244,0.0
0,1,R&D,3,LifeSci,42,2,LabTech,56750,13,13,2,4,1,2,4,2,3,2,3,7.594769503546099,0.305142995672,0.0786929808164898,235,0.1106382978723404
0,1,R&D,1,LifeSci,43,1,LabTech,23790,12,22,6,22,0,4,4,2,3,3,3,6.95264233241506,0.3178550153173413,0.0515115746694471,242,0.0
0,1,Sales,3,LifeSci,44,1,Scientist,38120,15,0,3,0,0,0,4,3,3,3,3,7.008878472222222,0.3149531071288215,0.0718559167500884,240,0.0
0,1,R&D,3,Medical,45,1,SalesRep,46480,23,9,2,8,0,7,2,1,3,2,4,7.201573315118397,0.2958945645712389,0.0821903815534493,244,0.0040983606557377
0,1,R&D,1,Tech,46,1,MfgDir,29360,12,10,2,8,7,7,2,4,2,3,3,7.172875,0.3081703336728252,0.043120990561083,240,0.0083333333333333
0,1,Sales,4,Marketing,47,2,HR,21050,20,19,3,18,3,7,3,4,2,3,4,7.636801418439717,0.3116720861036219,0.0923065493038051,235,0.1191489361702127
0,0,R&D,4,LifeSci,48,1,SalesExec,85780,21,11,4,9,0,8,2,2,3,3,4,7.83278129395218,0.2961809089177023,0.0455921837379131,237,0.2616033755274262
0,1,Sales,3,Marketing,49,2,LabTech,27060,21,13,4,13,4,8,4,3,2,3,4,6.974765051395007,0.3119167284795888,0.0905232076623505,227,0.0
0,1,R&D,2,LifeSci,50,3,Scientist,63840,19,19,4,10,0,1,1,2,3,2,3,6.906424220272905,0.2896151877770739,0.0582998279102084,228,0.0
0,0,R&D,3,LifeSci,51,2,MfgDir,39680,13,12,3,5,1,2,4,3,3,2,3,10.895463728191,0.3042054456932418,0.0663497585143843,242,1.0
0,1,R&D,1,Tech,52,3,Scientist,99070,13,6,3,5,0,3,3,4,3,2,3,9.125665729020158,0.3031655721188995,0.0554123057483082,237,1.0
0,1,Sales,4,Marketing,53,2,SalesExec,132250,21,9,2,2,1,0,1,1,3,3,4,6.831459786145978,0.2790618125054991,0.0662110021536573,239,0.0
0,2,R&D,1,Medical,54,1,SalesExec,35400,13,24,6,24,9,11,1,1,3,3,3,7.3160499058380415,0.3104232425048926,0.0439319396699915,236,0.0211864406779661
0,1,Sales,4,Marketing,55,2,Scientist,28040,19,3,0,2,2,2,3,4,1,3,3,8.610798041894354,0.311583892199974,0.061747185098553,244,0.971311475409836
