Attrition,BusinessTravel,Department,Education,EducationField,EmployeeID,JobLevel,JobRole,MonthlyIncome,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,age_group
No,Travel_Rarely,Sales,2,Life Sciences,1,1,Healthcare Representative,131160,11,1,6,1,0,0,3,4,2,3,3,45-55
Yes,Travel_Frequently,Research & Development,1,Life Sciences,2,1,Research Scientist,41890,23,6,3,5,1,4,3,2,4,2,4,25-35
No,Travel_Frequently,Research & Development,4,Other,3,4,Sales Executive,193280,15,5,2,5,0,3,2,2,1,3,3,25-35
No,Non-Travel,Research & Development,5,Life Sciences,4,3,Human Resources,83210,11,13,5,8,7,5,4,4,3,2,3,35-45
No,Travel_Rarely,Research & Development,1,Medical,5,1,Sales Executive,23420,12,9,2,6,0,4,4,1,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,6,4,Research Director,40710,13,28,5,7,7,7,3,2,2,3,3,45-55
Yes,Travel_Rarely,Research & Development,2,Medical,7,2,Sales Executive,58130,20,5,2,0,0,0,1,3,1,3,4,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,8,2,Sales Executive,31430,22,10,2,0,0,0,1,2,3,3,4,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,9,3,Laboratory Technician,20440,21,10,2,9,7,8,2,4,3,3,4,25-35
No,Non-Travel,Research & Development,4,Medical,10,4,Laboratory Technician,134640,13,6,2,6,1,5,2,1,3,3,3,< 25
No,Travel_Rarely,Research & Development,2,Medical,11,2,Laboratory Technician,79910,13,21,2,20,4,10,3,4,3,2,3,35-45
No,Travel_Rarely,Research & Development,1,Life Sciences,12,1,Laboratory Technician,33770,12,16,2,15,10,11,3,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,4,Life Sciences,13,1,Sales Executive,55380,17,37,2,36,4,13,4,1,3,3,3,45-55
Yes,Non-Travel,Research & Development,1,Medical,14,1,Research Scientist,57620,11,10,4,10,9,9,1,2,2,2,3,45-55
No,Travel_Rarely,Research & Development,3,Life Sciences,15,1,Manufacturing Director,25920,14,5,2,5,0,4,4,4,2,3,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,16,2,Healthcare Representative,53460,11,7,2,5,0,1,3,4,4,3,3,35-45
No,Travel_Rarely,Research & Development,2,Life Sciences,17,1,Laboratory Technician,42130,12,3,3,3,1,0,4,3,4,2,3,< 25
No,Non-Travel,Research & Development,3,Medical,18,2,Sales Executive,41270,13,15,2,5,0,2,1,4,3,3,3,35-45
No,Travel_Rarely,Sales,4,Life Sciences,19,1,Sales Representative,24380,16,10,5,7,6,2,2,2,2,2,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,20,1,Manager,68700,11,8,5,8,7,7,1,1,3,3,3,35-45
No,Travel_Frequently,Research & Development,4,Other,21,2,Laboratory Technician,104470,18,6,3,6,1,4,3,2,1,3,3,25-35
No,Travel_Rarely,Sales,4,Life Sciences,22,1,Research Scientist,96670,23,28,2,10,1,6,1,2,2,2,4,45-55
No,Travel_Rarely,Research & Development,4,Life Sciences,23,2,Research Scientist,21480,11,21,2,5,1,3,3,3,2,3,3,45-55
No,Travel_Rarely,Research & Development,4,Life Sciences,24,1,Manufacturing Director,89260,14,10,4,20,11,6,2,3,3,1,3,35-45
No,Travel_Frequently,Research & Development,4,Medical,25,1,Laboratory Technician,65130,11,10,2,10,0,9,2,4,2,3,3,25-35
No,Travel_Rarely,Research & Development,4,Other,26,1,Research Scientist,67990,11,12,2,10,0,8,2,4,3,3,3,45-55
No,Travel_Frequently,Research & Development,3,Life Sciences,27,1,Manager,162910,22,5,3,5,3,3,1,1,3,3,4,25-35
No,Travel_Rarely,Sales,1,Marketing,28,1,Research Scientist,27050,11,17,2,17,5,7,4,4,3,3,3,35-45
Yes,Travel_Frequently,Research & Development,2,Medical,29,2,Research Scientist,103330,14,19,2,1,0,0,4,3,1,2,3,35-45
No,Travel_Rarely,Sales,3,Marketing,30,1,Manager,44480,12,10,3,2,1,2,4,4,3,2,3,35-45
Yes,Travel_Rarely,Research & Development,3,Medical,31,3,Research Scientist,68540,11,5,5,3,0,2,1,2,3,2,3,25-35
No,Travel_Rarely,Research & Development,3,Other,32,1,Human Resources,96370,13,5,6,5,0,2,4,4,3,2,3,25-35
No,Travel_Frequently,Research & Development,1,Medical,33,2,Research Scientist,35910,13,22,2,3,1,2,3,1,3,3,3,45-55
No,Travel_Rarely,Sales,3,Technical Degree,34,3,Sales Executive,54050,14,10,2,8,7,7,3,2,3,3,3,35-45
No,Travel_Frequently,Research & Development,4,Medical,35,1,Sales Executive,46840,16,2,4,2,2,2,4,2,2,3,3,25-35
Yes,Travel_Rarely,Research & Development,3,Medical,36,2,Manager,157870,12,8,5,8,7,4,4,4,3,3,3,25-35
No,Travel_Frequently,Sales,1,Marketing,37,1,Laboratory Technician,15140,14,4,3,4,1,2,2,4,2,3,3,35-45
No,Travel_Frequently,Sales,2,Marketing,38,3,Research Director,29560,13,23,2,20,4,8,3,2,4,3,3,35-45
Yes,Travel_Rarely,Research & Development,4,Life Sciences,39,1,Sales Executive,23350,14,0,3,0,0,0,3,3,3,2,3,< 25
No,Travel_Rarely,Sales,2,Life Sciences,40,1,Laboratory Technician,51540,19,12,2,11,6,9,3,2,2,2,3,25-35
No,Travel_Frequently,Research & Development,3,Other,41,3,Sales Executive,69620,12,4,2,1,0,0,3,3,3,2,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,42,2,Laboratory Technician,56750,13,13,2,4,1,2,4,2,3,2,3,45-55
No,Travel_Rarely,Research & Development,1,Life Sciences,43,1,Laboratory Technician,23790,12,22,6,22,0,4,4,2,3,3,3,35-45
No,Travel_Rarely,Sales,3,Life Sciences,44,1,Research Scientist,38120,15,0,3,0,0,0,4,3,3,3,3,< 25
No,Travel_Rarely,Research & Development,3,Medical,45,1,Sales Representative,46480,23,9,2,8,0,7,2,1,3,2,4,25-35
No,Travel_Rarely,Research & Development,1,Technical Degree,46,1,Manufacturing Director,29360,12,10,2,8,7,7,2,4,2,3,3,25-35
